,Review,Rating,cleaned_reviews
0,"✅Trip Verified| Very smooth check-in at Casablanca though security and passport checks were cumbersome. Boarding was by bus, which was reasonably efficient. Onboard the crew was friendly and a boxed snack and soft drinks were served. The seat was fine for a 2-hour flight. The plane arrived in Barcelona on time, but there was a lengthy wait for luggage on the carousel. Overall a pleasant late-afternoon flight.",4/10,smooth checkin casablanca though security passport checks cumbersome boarding bus reasonably efficient onboard crew friendly boxed snack soft drinks served seat fine hour flight plane arrived barcelona time lengthy wait luggage carousel overall pleasant lateafternoon flight
1,"✅Trip Verified|  Royal Air Maroc is bar none the best airline I’ve ever flown. You could tell they take pride of their service. I wish I could use it all the time but with my extensive travel, they cannot accommodate my destinations. From the captain to the crew members working the flight are so attentive and knowledgeable. They’re here to please you at any time and you don’t have to wait if you have a request. I flew a 787 and it’s was clean and in a pristine condition. Plenty leg room. We had no cancellations or delays and the most important thing, my luggage’s arrived in perfect condition. Royal Air Maroc, thank you for your service. I give 10 out 10 for your service.",7/10,royal air maroc bar none best airline ive ever flown could tell take pride service wish could use time extensive travel cannot accommodate destinations captain crew members working flight attentive knowledgeable theyre please time dont wait request flew clean pristine condition plenty leg room cancellations delays important thing luggages arrived perfect condition royal air maroc thank service give service
2,"Not Verified| There is a need for an upgrade in the seats as they are not comfortable. Additionally, the touch screen system requires improvement as it currently offers outdated movies and series compared to other airlines. While the food and staff are satisfactory, it has been noticed over the past five years that the seats and entertainment system have become outdated.",10/10,need upgrade seats comfortable additionally touch screen system requires improvement currently offers outdated movies series compared airlines food staff satisfactory noticed past five years seats entertainment system become outdated
3,"Not Verified|  This is, without doubt, the worst airline I have ever flown on. They changed my initial flight at least 4 times, then cancelled it the day before the trip and the new flight was delayed. This meant we missed our connection to New York. No explanation given. We missed our first day in New York and our family who were waiting there for us. They put us up overnight in a Hotel which felt like a detention centre. On return they kept us standing at Check In for an hour to board the flight, then the in flight films and entertainment did not function, staff were unsympathetic, seats were not comfortable enough for long haul. Never again on this airline, never.",2/10,without doubt worst airline ever flown changed initial flight least times cancelled day trip new flight delayed meant missed connection new york explanation given missed first day new york family waiting us put us overnight hotel felt like detention centre return kept us standing check hour board flight flight films entertainment function staff unsympathetic seats comfortable enough long haul never airline never
4,"✅Trip Verified|  London Heathrow to Roberts international Monrovia.  Arrived at Roberts international to find all six pieces of checked baggage were lost it turns out that as far as I could see nobody on the flight received their luggage as all the luggage put out for collection had tags from previous flights. Royal air Maroc staff at the airport were overwhelmed and unable to control 100+ angry travelers. We left the airport on local advice as tempers were being lost and things were starting to look ugly and unsafe. Attended the Royal air Maroc offices in Monrovia several times but staff were rude and unhelpful, on Saturday the 30th December we made a final attempt to collect our luggage only to find the Liberian national guard wearing riot gear were protecting the Sinkor office from angry customers, honestly you could not make this up if you tried. My baggage eventually arrived a week after I had returned to the UK! The tickets were cheap and we got there and back in one piece so if you have a sense of adventure, are fine with dated aircraft and only have hand luggage they might be worth a punt.",3/10,london heathrow roberts international monrovia arrived roberts international find six pieces checked baggage lost turns far could see nobody flight received luggage luggage put collection tags previous flights royal air maroc staff airport overwhelmed unable control angry travelers left airport local advice tempers lost things starting look ugly unsafe attended royal air maroc offices monrovia several times staff rude unhelpful saturday th december made final attempt collect luggage find liberian national guard wearing riot gear protecting sinkor office angry customers honestly could make tried baggage eventually arrived week returned uk tickets cheap got back one piece sense adventure fine dated aircraft hand luggage might worth punt
5,"✅Trip Verified|  Bag did not arrive at destination. Freetown was unable to log in WorldTracer as they did not have a computer. The bag randomly arrived a week late after I left. Freetown tagged the bag and returned to Heathrow with my details on the top of the bag, but because it wasn't in the system it arrived and has gone missing. RAM customer services refuse to acknowledge the bags existence and won't contact anyone at the airport to assist the tracking. I have an airtag and have given them the locations, but now the bag is missing and they won't acknowledge the 21 day limit as I did not put the details in worldtracer. The tell me 'they will contact me when it's found - I found it, I told them were it was, and they refused to help repatriate it. The plane was old, crew woke up passengers for no necessary reason during the redeye. Avoid at all costs.",3/10,bag arrive destination freetown unable log worldtracer computer bag randomly arrived week late left freetown tagged bag returned heathrow details top bag wasnt system arrived gone missing ram customer services refuse acknowledge bags existence wont contact anyone airport assist tracking airtag given locations bag missing wont acknowledge day limit put details worldtracer tell contact found found told refused help repatriate plane old crew woke passengers necessary reason redeye avoid costs
6,"✅Trip Verified|  Good experience on these flights which were pretty much on time. Business Class service was not outstanding but OK. Since Royal Air Maroc is already good in Economy Class, I question the added value to this flight in Business Class with the slightly better food and the still outdated seating comfort without any added value as charging facilities for your devices or an online access for messages as it would be state of the art. A curiosity on its own is the baggage handling at the hub of Casablanca. All my three checked suitcases did not arrive on time, two with three and one with six days delay. Watch the picture. It looked like that at every gate and all around the terminal. At the end, it is like a mystery that all suitcases arrived well",1/10,good experience flights pretty much time business class service outstanding ok since royal air maroc already good economy class question added value flight business class slightly better food still outdated seating comfort without added value charging facilities devices online access messages would state art curiosity baggage handling hub casablanca three checked suitcases arrive time two three one six days delay watch picture looked like every gate around terminal end like mystery suitcases arrived well
7,"✅Trip Verified|  The cabins are little old but what else should an airline do as a Boeing customer waiting to replace them with new 737-MAX? Service was very good on the entire two flights, both time a hot and very tasty meal was served including free beverages, as soft drinks, wines and the famous Moroccan mint tea. Funny was the inflight online access to a very old presentation of RAM from times before they joined the One World alliance as well as with COVID-19 - measures. Both flights were punctual as well. One of my two checked luggage arrived two days later even as being a One World Sapphire client with ""priority"" sticker on it. Besides the baggage handling, I can strongly recommend Royal Air Maroc.",6/10,cabins little old else airline boeing customer waiting replace new max service good entire two flights time hot tasty meal served including free beverages soft drinks wines famous moroccan mint tea funny inflight online access old presentation ram times joined one world alliance well covid measures flights punctual well one two checked luggage arrived two days later even one world sapphire client priority sticker besides baggage handling strongly recommend royal air maroc
8,"Not Verified| My 16 yro son missed his connection fight. They did not put in an effort to assist him, they were arrogant and unfriendly. He was really frustrated. As a parent this was a nightmare for me. I would not recommend this airline to anyone.",7/10,yro son missed connection fight put effort assist arrogant unfriendly really frustrated parent nightmare would recommend airline anyone
9,"Not Verified| Unresolved Baggage Delay - Royal Air Maroc. I want to express my disappointment with Royal Air Maroc regarding a baggage delay issue I encountered during my recent flight. Despite my efforts to claim the delayed baggage, the process yielded no results. The lack of resolution and communication on their part added frustration to an already inconvenient situation. I hope the airline addresses these issues promptly to enhance customer satisfaction and reliability.",1/10,unresolved baggage delay royal air maroc want express disappointment royal air maroc regarding baggage delay issue encountered recent flight despite efforts claim delayed baggage process yielded results lack resolution communication part added frustration already inconvenient situation hope airline addresses issues promptly enhance customer satisfaction reliability
