Review,Rating
"✅Trip Verified| Very smooth check-in at Casablanca though security and passport checks were cumbersome. Boarding was by bus, which was reasonably efficient. Onboard the crew was friendly and a boxed snack and soft drinks were served. The seat was fine for a 2-hour flight. The plane arrived in Barcelona on time, but there was a lengthy wait for luggage on the carousel. Overall a pleasant late-afternoon flight.",4/10
"✅Trip Verified|  Royal Air Maroc is bar none the best airline I’ve ever flown. You could tell they take pride of their service. I wish I could use it all the time but with my extensive travel, they cannot accommodate my destinations. From the captain to the crew members working the flight are so attentive and knowledgeable. They’re here to please you at any time and you don’t have to wait if you have a request. I flew a 787 and it’s was clean and in a pristine condition. Plenty leg room. We had no cancellations or delays and the most important thing, my luggage’s arrived in perfect condition. Royal Air Maroc, thank you for your service. I give 10 out 10 for your service.",7/10
"Not Verified| There is a need for an upgrade in the seats as they are not comfortable. Additionally, the touch screen system requires improvement as it currently offers outdated movies and series compared to other airlines. While the food and staff are satisfactory, it has been noticed over the past five years that the seats and entertainment system have become outdated.",10/10
"Not Verified|  This is, without doubt, the worst airline I have ever flown on. They changed my initial flight at least 4 times, then cancelled it the day before the trip and the new flight was delayed. This meant we missed our connection to New York. No explanation given. We missed our first day in New York and our family who were waiting there for us. They put us up overnight in a Hotel which felt like a detention centre. On return they kept us standing at Check In for an hour to board the flight, then the in flight films and entertainment did not function, staff were unsympathetic, seats were not comfortable enough for long haul. Never again on this airline, never.",2/10
"✅Trip Verified|  London Heathrow to Roberts international Monrovia.  Arrived at Roberts international to find all six pieces of checked baggage were lost it turns out that as far as I could see nobody on the flight received their luggage as all the luggage put out for collection had tags from previous flights. Royal air Maroc staff at the airport were overwhelmed and unable to control 100+ angry travelers. We left the airport on local advice as tempers were being lost and things were starting to look ugly and unsafe. Attended the Royal air Maroc offices in Monrovia several times but staff were rude and unhelpful, on Saturday the 30th December we made a final attempt to collect our luggage only to find the Liberian national guard wearing riot gear were protecting the Sinkor office from angry customers, honestly you could not make this up if you tried. My baggage eventually arrived a week after I had returned to the UK! The tickets were cheap and we got there and back in one piece so if you have a sense of adventure, are fine with dated aircraft and only have hand luggage they might be worth a punt.",3/10
"✅Trip Verified|  Bag did not arrive at destination. Freetown was unable to log in WorldTracer as they did not have a computer. The bag randomly arrived a week late after I left. Freetown tagged the bag and returned to Heathrow with my details on the top of the bag, but because it wasn't in the system it arrived and has gone missing. RAM customer services refuse to acknowledge the bags existence and won't contact anyone at the airport to assist the tracking. I have an airtag and have given them the locations, but now the bag is missing and they won't acknowledge the 21 day limit as I did not put the details in worldtracer. The tell me 'they will contact me when it's found - I found it, I told them were it was, and they refused to help repatriate it. The plane was old, crew woke up passengers for no necessary reason during the redeye. Avoid at all costs.",3/10
"✅Trip Verified|  Good experience on these flights which were pretty much on time. Business Class service was not outstanding but OK. Since Royal Air Maroc is already good in Economy Class, I question the added value to this flight in Business Class with the slightly better food and the still outdated seating comfort without any added value as charging facilities for your devices or an online access for messages as it would be state of the art. A curiosity on its own is the baggage handling at the hub of Casablanca. All my three checked suitcases did not arrive on time, two with three and one with six days delay. Watch the picture. It looked like that at every gate and all around the terminal. At the end, it is like a mystery that all suitcases arrived well",1/10
"✅Trip Verified|  The cabins are little old but what else should an airline do as a Boeing customer waiting to replace them with new 737-MAX? Service was very good on the entire two flights, both time a hot and very tasty meal was served including free beverages, as soft drinks, wines and the famous Moroccan mint tea. Funny was the inflight online access to a very old presentation of RAM from times before they joined the One World alliance as well as with COVID-19 - measures. Both flights were punctual as well. One of my two checked luggage arrived two days later even as being a One World Sapphire client with ""priority"" sticker on it. Besides the baggage handling, I can strongly recommend Royal Air Maroc.",6/10
"Not Verified| My 16 yro son missed his connection fight. They did not put in an effort to assist him, they were arrogant and unfriendly. He was really frustrated. As a parent this was a nightmare for me. I would not recommend this airline to anyone.",7/10
"Not Verified| Unresolved Baggage Delay - Royal Air Maroc. I want to express my disappointment with Royal Air Maroc regarding a baggage delay issue I encountered during my recent flight. Despite my efforts to claim the delayed baggage, the process yielded no results. The lack of resolution and communication on their part added frustration to an already inconvenient situation. I hope the airline addresses these issues promptly to enhance customer satisfaction and reliability.",1/10
"Not Verified| This airline is the worst ever I have experienced, I boarded the plane from Lagos to London and the organisation was the worst I have ever seen, customers were treated as animals, with little or no regards for us. My luggages were misplaced, they promised that it will be sent to our location which they did not. I had to call to ask for my bags, the response I got was that they can’t find my name in the boarding list for the day I travelled, I thought it was dream. I was so frustrated, I had to leave work and go to the airport to get my bag, only to see that my bag was with them, the lock was broken, my bag was torn and there was no form of apology from the staff on that. I will advise people to never use this airline or any service related to Royal Air Maroc.",4/10
✅Trip Verified|  It has been 5 days since I travel with this terrible airline and my 2 luggage aren’t still found. The customer service is not helpful in the process and I am completely hopeless to find it.,1/10
"Not Verified|  My flight got cancelled on the first day for no reason after checking in & waiting to board at the boarding gate for hours! We were then checked out, stressed out & told to return the following day, same time for the next flight… the following day we were given one boarding pass for a connecting flight that was meant to have 2 boarding passes. London to Casablanca & then Casablanca to Lagos… We arrived in Casablanca but unfortunately we are told there's no flights connecting to Lagos, nobody explained anything to us, we were stranded at the airport and had to sleep at the airport until the following night..... spending 3 days in transit for a journey that was meant to last for a day! They clearly knew what they were doing… they were trying to save costs at our expense…they probably didn’t wanna lodge us in a hotel for another day in London & also in Casablanca. 3 family members have had stressful and exhausting experiences using this airline! I thought mine was gonna be different but clearly not! Nobody in my family is flying this airline anymore never again.",1/10
"✅Trip Verified|   Cabin staff not very pleasant to me. On arrival at Dulles, Washington, both of my 2 suitcases did not arrive, one containing my clothes and the other full of valuable sentimental belongings for my daughter. Extremely distraught as it has now been over two weeks and no effort is being made to locate them, phoning everyday to no avail, 15 email's all unanswered, no customer service return calls updating situation and 5 separate claims made. I have been without clothes or personal items and still have 3 weeks of stay left.. I am absolutely furious and seems there is nothing else I can do,",1/10
